Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demonstrations,logistics,Crewed,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Transporter,Bandwagon,Flight tests,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
,CCAFS,SES-12,"2,697 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5311B1046.1268,No attempt,11 May 2018,20:14
,CCAFS,SpaceX CRS-15,"7,075 kg",GTO,Telesat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1043.2322,Success,22 May 2018,19:47
,CCAFS,Telstar 19V,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1040.2268,Success,4 June 2018,04:45
,VAFB,Iridium NEXT,"5,800 kg",GTO,Telkom Indonesia,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1045.2336,Success,29 June 2018,09:42
,CCAFS,Merah Putih,"7,060 kg",GTO,Telesat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,22 July 2018,05:50
,CCAFS,Telstar 18V,"3,000 kg",SSO,CONAE,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5349B1048[,Success,25 July 2018,11:39
,VAFB,SAOCOM 1A,"5,300 kg",GTO,Es'hailSat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1046.2354,Success,7 August 2018,05:18
,KSC,Es'hail 2,"~4,000 kg",SSO,Spaceflight Industries,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,10 September 2018,04:45
,VAFB,SSO-A,"2,500 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1048.2364,Failure,8 October 2018,02:22
,CCAFS,SpaceX CRS-16,"4,400 kg",MEO,USAF,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1047.2268,No attempt,15 November 2018,20:46
,CCAFS,GPS III,"9,600 kg",Polar,Iridium Communications,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1046.3268,Success,3 December 2018,18:34:05
,VAFB,Iridium NEXT,"4,850 kg",GTO,PSN,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,5 December 2018,18:16
,CCAFS,Nusantara Satu,"12,055 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,23 December 2018,13:51
,KSC,Crew Dragon Demo-1,"2,495 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.2397,Success,11 January 2019,15:31
,CCAFS,SpaceX CRS-17,"13,620 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1048.3399,Success,22 February 2019,01:45
,CCAFS,Starlink,"4,200 kg",SSO,Canadian Space Agency,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[]413,Success,2 March 2019,07:49
,VAFB,RADARSAT Constellation,"2,268 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,4 May 2019,06:48
,CCAFS,SpaceX CRS-18,"6,500 kg",GTO,Spacecom,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.3434,No attempt,24 May 2019,02:30
,CCAFS,AMOS-17,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.2420,Success,12 June 2019,14:17
,CCAFS,Starlink,"2,617 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1056.2465,Success,25 July 2019,22:01
,CCAFS,SpaceX CRS-19,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1047.3472,Success,6 August 2019,23:23
,CCAFS,JCSat-18,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,11 November 2019,14:56
,CCAFS,Starlink,"12,050 kg",Sub-orbital,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,"No attempt
",5 December 2019,17:29
,KSC,Crew Dragon in-flight abort test,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1056.3482,Success,17 December 2019,00:10
,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,7 January 2020,02:19:21
,CCAFS,Starlink,"1,977 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,19 January 2020,15:30
,CCAFS,SpaceX CRS-20,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,29 January 2020,14:07
,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,17 February 2020,15:05
,KSC,Starlink,"12,530 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 March 2020,04:50
,KSC,Crew Dragon Demo-2,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,18 March 2020,12:16
,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,22 April 2020,19:30
,CCAFS,Starlink,"4,311 kg",MEO,U.S. Space Force,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,30 May 2020,19:22
,CCAFS,GPS III,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,4 June 2020,01:25
,CCAFS,ANASIS-II,"14,932 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,13 June 2020,09:21
,KSC,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,30 June 2020,20:10:46
,CCAFS,Starlink,"3,130 kg",SSO,CONAE,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.2544,Success,20 July 2020,21:30
,CCAFS,SAOCOM 1B,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,7 August 2020,05:12
,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.6544,Success,18 August 2020,14:31
,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,30 August 2020,23:18
,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1060.2563,Success,3 September 2020,12:46:14
,CCAFS,Starlink,"4,311 kg",MEO,USSF,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.3565,Success,6 October 2020,11:29:34
,CCAFS,GPS III,"~12,500 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.6568,Success,18 October 2020,12:25:57
,KSC,Crew-1,"1,192 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,24 October 2020,15:31:34
,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,5 November 2020,23:24:23
,CCAFS,Starlink,"2,972 kg",LEO,NASA,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[,Success,16 November 2020,00:27
,KSC,SpaceX CRS-21,"7,000 kg",GTO,Sirius XM,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,21 November 2020,17:17:08
,CCSFS,SXM-7,C,LEO,NRO,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺[,Success,25 November 2020,02:13
,KSC,NROL-108,"3,500 kg",GTO,Türksat,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺[,Success,6 December 2020,16:17:08
,CCSFS,Türksat 5A,"15,600 kg",LEO,SpaceX,"Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Success,13 December 2020,17:30:00
,KSC,Starlink,"~5,000 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5 ♺,Failure,19 December 2020,14:00:00
,CCSFS,Transporter-1,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,8 January 2021,02:15
,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.8609,"No attempt
",20 January 2021,13:02
,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1058.5613,No attempt,24 January 2021,15:00
,CCAFS,Dragon,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0003.18,"No attempt
",4 June 2010,18:45
,CCAFS,SpaceX CRS-1,"4,877 kg",LEO,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0004.18,Uncontrolled,8 December 2010,15:43
,CCAFS,SpaceX CRS-2,500 kg,Polar orbit,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0005.18,No attempt,22 May 2012,07:44
,VAFB,CASSIOPE,"3,170 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0006.18,No attempt,8 October 2012,00:35
,CCAFS,SES-8,"3,325 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.07B0007.18,Controlled,1 March 2013,15:10
,CCAFS,Thaicom 6,"2,296 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.17B10038,Controlled,29 September 2013,16:00
,Cape Canaveral,SpaceX CRS-3,"1,316 kg",LEO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,No attempt,3 December 2013,22:41
,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,"No attempt
",6 January 2014,22:06
,Cape Canaveral,AsiaSat 8,"4,428 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,Uncontrolled,18 April 2014,19:25
,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,Failure ,14 July 2014,15:15
,Cape Canaveral,SpaceX CRS-4,"2,395 kg",LEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1,Controlled,5 August 2014,08:00
,Cape Canaveral,SpaceX CRS-5,570 kg,HEO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,No attempt,7 September 2014,05:00
,Cape Canaveral,DSCOVR,"4,159 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,21 September 2014,05:52
,Cape Canaveral,ABS-3A,"1,898 kg",LEO,"<a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,No attempt,10 January 2015,09:47
,Cape Canaveral,SpaceX CRS-6,"4,707 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Precluded,11 February 2015,23:03
,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Success,2 March 2015,03:50
,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,14 April 2015,20:10
,Cape Canaveral,Orbcomm-OG2,553 kg,LEO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>","Success
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Failure,27 April 2015,23:03
,VAFB,Jason-3,"5,271 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 v1.1[,Success,28 June 2015,14:21
